review_id,product_name,category,rating,review_text,true_sentiment,reviewer_age,helpful_votes
1,Laptop,Books,5,Super happy with this purchase. Packaging was also excellent. Packaging was neat.,Positive,35,45
2,Laptop,Home & Kitchen,5,Works like a charm. Very happy with the overall experience. Packaging was neat.,Positive,61,16
3,Jeans,Beauty,5,Fantastic product at a very reasonable price point.,Positive,27,41
4,Blender,Sports,5,Works like a charm. Very happy with the overall experience.,Positive,22,11
5,Yoga Mat,Books,4,Works like a charm. Very happy with the overall experience. Delivery was quick.,Positive,26,47
6,Jeans,Electronics,4,Best purchase I have made this year. Highly recommend! Very impressed overall.,Positive,19,45
7,Yoga Mat,Clothing,4,The product is durable and looks exactly like the pictures.,Positive,51,26
8,Coffee Maker,Clothing,4,Best purchase I have made this year. Highly recommend! Recommended to friends.,Positive,55,47
9,Blender,Electronics,4,The product is durable and looks exactly like the pictures.,Positive,48,7
10,Shampoo,Beauty,5,Excellent build quality and quick shipping. Five stars!,Positive,27,22
11,Face Cream,Clothing,5,Fantastic product at a very reasonable price point.,Positive,29,41
12,Shampoo,Clothing,5,Great value for money. The product works perfectly.,Positive,53,48
13,Yoga Mat,Electronics,4,Outstanding customer service and excellent product quality. Would buy again.,Positive,38,28
14,Headphones,Beauty,5,Best purchase I have made this year. Highly recommend! Not what I expected though.,Positive,64,49
15,Coffee Maker,Beauty,4,Excellent build quality and quick shipping. Five stars!,Positive,23,19
17,Blender,Beauty,4,Amazing quality and fast delivery. Will definitely buy again.,Positive,27,16
18,Shampoo,Beauty,4,Fantastic product at a very reasonable price point.,Positive,22,15
19,Yoga Mat,Books,4,Outstanding customer service and excellent product quality.,Positive,63,18
20,Python Guide,Books,5,Super happy with this purchase. Packaging was also excellent. Good build quality.,Positive,43,7
21,Blender,Electronics,5,Great value for money. The product works perfectly. Very impressed overall.,Positive,38,37
22,Blender,Home & Kitchen,5,Amazing quality and fast delivery. Will definitely buy again. Recommended to friends.,Positive,62,37
23,Python Guide,Clothing,4,The product is durable and looks exactly like the pictures.,Positive,43,28
24,Coffee Maker,Books,4,Outstanding customer service and excellent product quality.,Positive,55,40
25,Yoga Mat,Clothing,5,Amazing quality and fast delivery. Will definitely buy again. Recommended to friends.,Positive,61,35
26,Yoga Mat,Sports,4,Fantastic product at a very reasonable price point. Delivery was quick.,Positive,43,25
27,Dumbbells,Electronics,5,Works like a charm. Very happy with the overall experience. Very impressed overall.,Positive,25,30
28,Headphones,Home & Kitchen,4,Excellent build quality and quick shipping. Five stars! Not what I expected though.,Positive,22,43
29,Blender,Sports,5,Amazing quality and fast delivery. Will definitely buy again. Good build quality.,Positive,32,11
30,Blender,Sports,4,Fantastic product at a very reasonable price point. Very impressed overall.,Positive,33,16
31,Novel,Beauty,5,Excellent build quality and quick shipping. Five stars!,Positive,18,14
32,Face Cream,Sports,4,Absolutely love this product! Exceeded all my expectations.,Positive,33,8
33,Blender,Electronics,5,Excellent build quality and quick shipping. Five stars! Very impressed overall.,Positive,54,38
34,T-Shirt,Books,5,Works like a charm. Very happy with the overall experience.,Positive,20,41
35,Face Cream,Electronics,5,Great value for money. The product works perfectly. Would buy again.,Positive,64,47
36,T-Shirt,Books,4,Great value for money. The product works perfectly. Not what I expected though.,Positive,48,11
37,Yoga Mat,Sports,4,Fantastic product at a very reasonable price point.,Positive,30,31
38,Face Cream,Sports,5,Excellent build quality and quick shipping. Five stars! The size was perfect.,Positive,33,24
39,Blender,Home & Kitchen,5,Works like a charm. Very happy with the overall experience.,Positive,60,38
40,Python Guide,Books,5,Absolutely love this product! Exceeded all my expectations.,Positive,38,17
41,Headphones,Sports,5,Super happy with this purchase. Packaging was also excellent. Not what I expected though.,Positive,19,14
42,T-Shirt,Beauty,4,Great value for money. The product works perfectly. Delivery was quick.,Positive,44,31
43,Dumbbells,Clothing,5,Great value for money. The product works perfectly.,Positive,55,5
44,Face Cream,Home & Kitchen,5,Best purchase I have made this year. Highly recommend! Would buy again.,Positive,43,43
45,Blender,Electronics,4,Absolutely love this product! Exceeded all my expectations. Packaging was neat.,Positive,55,42
46,Face Cream,Home & Kitchen,4,Super happy with this purchase. Packaging was also excellent.,Positive,63,34
47,Blender,Clothing,5,Fantastic product at a very reasonable price point.,Positive,42,33
48,Blender,Books,4,Great value for money. The product works perfectly.,Positive,28,37
49,Blender,Electronics,4,Super happy with this purchase. Packaging was also excellent.,Positive,25,4
50,Novel,Electronics,4,Outstanding customer service and excellent product quality. Packaging was neat.,Positive,25,17
51,Headphones,Books,4,Super happy with this purchase. Packaging was also excellent.,Positive,50,15
52,Python Guide,Home & Kitchen,5,Outstanding customer service and excellent product quality. Packaging was neat.,Positive,24,7
53,Python Guide,Sports,5,Great value for money. The product works perfectly.,Positive,55,24
54,Face Cream,Home & Kitchen,5,Amazing quality and fast delivery. Will definitely buy again. Delivery was quick.,Positive,38,31
55,Face Cream,Clothing,5,Excellent build quality and quick shipping. Five stars!,Positive,25,25
56,Blender,Beauty,4,Outstanding customer service and excellent product quality. Would buy again.,Positive,38,21
57,Novel,Sports,5,Fantastic product at a very reasonable price point.,Positive,37,30
58,Blender,Home & Kitchen,5,Excellent build quality and quick shipping. Five stars!,Positive,25,42
59,Novel,Beauty,5,Absolutely love this product! Exceeded all my expectations.,Positive,63,9
